bcr_sample_barcode	bcr_aliquot_barcode	amount	bcr_aliquot_uuid	biospecimen_barcode_bottom	center_id	concentration	date_of_shipment	plate_column	plate_id	plate_row	source_center
TCGA-CV-7425-11A	TCGA-CV-7425-11A-01W-2159-08	80.00	44abc3a2-5a37-4d3d-86ef-e5bcfde45eed	0120991061	08	0.50	2012-01-30	6	2159	D	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11D-2077-01	6.67	c1d6890a-2567-416d-8fac-603c2ed06ba8	0121031373	01	0.16	2011-12-14	3	2077	E	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11D-2078-08	60.00	3fdb4698-4a38-4a81-a403-d1ce5568c225	0121031181	08	0.05	2011-12-14	3	2078	E	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11D-2079-05	13.30	b0211bf0-c1f0-4769-b8d8-45801d31ec04	0120997197	05	0.16	2011-12-14	3	2079	E	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11D-2317-26	20.00	5c16c1dc-5d6b-4aac-b1c7-a991956be402	1061615499	26	0.16	2012-06-13	5	2317	B	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11R-2080-13	20.00	334cd95a-4600-4cf0-85a9-415bd9d54177	0120997485	13	0.16	2011-12-14	3	2080	E	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11R-2081-07	13.30	0d9f91f5-c4c6-4d38-b00f-cfeaf3fbd8f5	0120997389	07	0.16	2011-12-14	3	2081	E	22
TCGA-CV-7427-01A	TCGA-CV-7427-01A-11W-2159-08	80.00	ceafc937-d4b9-4bba-b1e0-0f260793b37e	0120991100	08	0.50	2012-01-30	4	2159	A	22
TCGA-CV-7427-10A	TCGA-CV-7427-10A-01D-2077-01	6.67	b2cfd22c-7062-4c9a-8940-ad8d922b5bfc	0121031392	01	0.15	2011-12-14	8	2077	C	22
TCGA-CV-7427-10A	TCGA-CV-7427-10A-01D-2078-08	60.00	01aea99d-e331-4b02-a0cd-e9df66a08d9c	0121031200	08	0.05	2011-12-14	8	2078	C	22
