bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-BA-A6DG-10A	TCGA-BA-A6DG-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DI-01A	TCGA-BA-A6DI-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DI-01A	TCGA-BA-A6DI-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DI-01A	TCGA-BA-A6DI-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DI-10A	TCGA-BA-A6DI-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DI-10A	TCGA-BA-A6DI-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DJ-01A	TCGA-BA-A6DJ-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DJ-01A	TCGA-BA-A6DJ-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DJ-01A	TCGA-BA-A6DJ-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DJ-10A	TCGA-BA-A6DJ-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DJ-10A	TCGA-BA-A6DJ-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DL-01A	TCGA-BA-A6DL-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A6DL-01A	TCGA-BA-A6DL-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A6DL-01A	TCGA-BA-A6DL-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A6DL-10A	TCGA-BA-A6DL-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A6DL-10A	TCGA-BA-A6DL-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4217-01A	TCGA-BB-4217-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-4217-01A	TCGA-BB-4217-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-4217-01A	TCGA-BB-4217-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4217-10A	TCGA-BB-4217-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-4217-10A	TCGA-BB-4217-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4223-01A	TCGA-BB-4223-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-4223-01A	TCGA-BB-4223-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-4223-01A	TCGA-BB-4223-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4223-10A	TCGA-BB-4223-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-4223-10A	TCGA-BB-4223-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4224-01A	TCGA-BB-4224-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-4224-01A	TCGA-BB-4224-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-4224-01A	TCGA-BB-4224-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4224-10A	TCGA-BB-4224-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-4224-10A	TCGA-BB-4224-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4225-01A	TCGA-BB-4225-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-4225-01A	TCGA-BB-4225-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-4225-01A	TCGA-BB-4225-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4225-10A	TCGA-BB-4225-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-4225-10A	TCGA-BB-4225-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4227-01A	TCGA-BB-4227-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-4227-01A	TCGA-BB-4227-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-4227-01A	TCGA-BB-4227-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4227-10A	TCGA-BB-4227-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-4227-10A	TCGA-BB-4227-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4228-01A	TCGA-BB-4228-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-4228-01A	TCGA-BB-4228-01A-01R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-4228-01A	TCGA-BB-4228-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-4228-10A	TCGA-BB-4228-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-4228-10A	TCGA-BB-4228-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7861-01A	TCGA-BB-7861-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7861-01A	TCGA-BB-7861-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7861-01A	TCGA-BB-7861-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7861-10A	TCGA-BB-7861-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7861-10A	TCGA-BB-7861-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7862-01A	TCGA-BB-7862-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7862-01A	TCGA-BB-7862-01A-21R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7862-01A	TCGA-BB-7862-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7862-10A	TCGA-BB-7862-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7862-10A	TCGA-BB-7862-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7863-01A	TCGA-BB-7863-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7863-01A	TCGA-BB-7863-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7863-01A	TCGA-BB-7863-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7863-10A	TCGA-BB-7863-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7863-10A	TCGA-BB-7863-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7864-01A	TCGA-BB-7864-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7864-01A	TCGA-BB-7864-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7864-01A	TCGA-BB-7864-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7864-10A	TCGA-BB-7864-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7864-10A	TCGA-BB-7864-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7866-01A	TCGA-BB-7866-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7866-01A	TCGA-BB-7866-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7866-01A	TCGA-BB-7866-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7866-10A	TCGA-BB-7866-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7866-10A	TCGA-BB-7866-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7870-01A	TCGA-BB-7870-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7870-01A	TCGA-BB-7870-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7870-01A	TCGA-BB-7870-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7870-10A	TCGA-BB-7870-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7870-10A	TCGA-BB-7870-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7871-01A	TCGA-BB-7871-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7871-01A	TCGA-BB-7871-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7871-01A	TCGA-BB-7871-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7871-10A	TCGA-BB-7871-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BB-7871-10A	TCGA-BB-7871-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BB-7872-01A	TCGA-BB-7872-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BB-7872-01A	TCGA-BB-7872-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BB-7872-01A	TCGA-BB-7872-01A-11W	Repli-G	[Not Available]	[Not Available]
